ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_2,CH/FPD/ELEM/MAT,6,H4,11,TRUE,FALSE,,999999,304H Stainless Steel,304H Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,C5,12,TRUE,FALSE,,999999,High Yield Carbon Steel (Gr 52),High Yield Carbon Steel (Gr 52),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,C6,13,TRUE,FALSE,,999999,High Yield Carbon Steel (Gr 65),High Yield Carbon Steel (Gr 65),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,C7,14,TRUE,FALSE,,999999,High Yield Carbon Steel (Gr 60),High Yield Carbon Steel (Gr 60),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S3,15,TRUE,FALSE,,999999,310 Stainless Steel,310 Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S2,16,TRUE,FALSE,,999999,321 Stainless Steel,321 Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S1,17,TRUE,FALSE,,999999,321H Stainless Steel,321H Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S5,18,TRUE,FALSE,,999999,347 Stainless Steel,347 Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S7,19,TRUE,FALSE,,999999,347H Stainless Steel,347H Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S8,20,TRUE,FALSE,,999999,317/317L Stainless Steel,317/317L Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,S9,21,TRUE,FALSE,,999999,904L Stainless Steel,904L Stainless Steel,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,D1,22,TRUE,FALSE,,999999,22% Cr Duplex (UNS S31803),22% Cr Duplex (UNS S31803),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,D2,23,TRUE,FALSE,,999999,25% Cr Super Duplex (UNS S32750),25% Cr Super Duplex (UNS S32750),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,D3,24,TRUE,FALSE,,999999,25% Cr Super Duplex (UNS S32760),25% Cr Super Duplex (UNS S32760),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,M1,25,TRUE,FALSE,,999999,6% Mo SS (UNS S31254),6% Mo SS (UNS S31254),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U1,26,TRUE,FALSE,,999999,Alloy 20 (UNS N08020),Alloy 20 (UNS N08020),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U2,27,TRUE,FALSE,,999999,Alloy 200 (UNS N02200),Alloy 200 (UNS N02200),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,M4,28,TRUE,FALSE,,999999,Alloy 400 (UNS N04400),Alloy 400 (UNS N04400),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U3,29,TRUE,FALSE,,999999,Alloy 600 (UNS N06600),Alloy 600 (UNS N06600),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,N2,30,TRUE,FALSE,,999999,Alloy 625 (UNS N06625),Alloy 625 (UNS N06625),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U4,31,TRUE,FALSE,,999999,Alloy 800 (UNS N08800),Alloy 800 (UNS N08800),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U5,32,TRUE,FALSE,,999999,Alloy 825 (UNS N08825),Alloy 825 (UNS N08825),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U6,33,TRUE,FALSE,,999999,Alloy C-22 (UNS N06022),Alloy C-22 (UNS N06022),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,U7,34,TRUE,FALSE,,999999,Alloy C-276 (UNS N010276),Alloy C-276 (UNS N010276),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,P2,35,TRUE,FALSE,,999999,90/10 CuNi (UNS C70600),90/10 CuNi (UNS C70600),,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,T2,36,TRUE,FALSE,,999999,Titanium Grade 2,Titanium Grade 2,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,T5,37,TRUE,FALSE,,999999,Titanium Grade 5,Titanium Grade 5,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,L1,38,TRUE,FALSE,,999999,Tantalum,Tantalum,,,,,,,,,,,
FPD470_2,CH/FPD/ELEM/MAT,6,Z9,39,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H2,1,TRUE,FALSE,NOT(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090),0,0.2,0.2,0.2,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H3,2,TRUE,FALSE,,0,0.3,0.3,0.3,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H4,3,TRUE,FALSE,,0,0.4,0.4,0.4,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H5,4,TRUE,FALSE,,0,0.5,0.5,0.5,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H6,5,TRUE,FALSE,CH/FPD/LINE/SIZE=040,0,0.6,0.6,0.6,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,H7,6,TRUE,FALSE,CH/FPD/LINE/SIZE=040,0,0.7,0.7,0.7,,,,,,,,,,
FPD470_2,CH/FPD/HD/RATIO,7,Z9,7,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,R2,1,TRUE,FALSE,,0,Weld Neck End Flange - Raised Face,Weld Neck End Flange - Raised Face,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,J2,2,TRUE,FALSE,,0,Weld Neck End Flange - RTJ,Weld Neck End Flange - RTJ,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,F2,7,TRUE,FALSE,,999999,Weld Neck End Flange - Flat Face,Weld Neck End Flange - Flat Face,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,P1,3,TRUE,FALSE,,999999,Weld Prepared Ends,Weld Prepared Ends,,,,,,,,,,,
