ColumnName,Value,Units,UnitsType,Notes,Expression
GADimensionA,422.5,mm,length,O/DIA A = 422.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp31
GADimensionA,419,mm,length,O/DIA A = 419mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp33
GADimensionA,457,mm,length,O/DIA A = 457mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp34
GADimensionA,498.5,mm,length,O/DIA A = 498.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp27
GADimensionA,520.5,mm,length,O/DIA A = 520.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp28
GADimensionA,549.5,mm,length,O/DIA A = 549.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp19
GADimensionA,451,mm,length,O/DIA A = 451mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp16
GADimensionA,486,mm,length,O/DIA A = 486mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp31
GADimensionA,482.5,mm,length,O/DIA A = 482.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp33
GADimensionA,492,mm,length,O/DIA A = 492mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp34
GADimensionA,521,mm,length,O/DIA A = 521mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp27
GADimensionA,578,mm,length,O/DIA A = 578mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp28
GADimensionA,514.5,mm,length,O/DIA A = 514.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp16
GADimensionA,540,mm,length,O/DIA A = 540mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp31
GADimensionA,536.5,mm,length,O/DIA A = 536.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp33
GADimensionA,565,mm,length,O/DIA A = 565mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp34
GADimensionA,575,mm,length,O/DIA A = 575mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp27
GADimensionA,641.5,mm,length,O/DIA A = 641.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp28
GADimensionA,549.5,mm,length,O/DIA A = 549.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp16
GADimensionA,597,mm,length,O/DIA A = 597mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp31
GADimensionA,593.7,mm,length,O/DIA A = 593.7mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp33
GADimensionA,613,mm,length,O/DIA A = 613mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp34
GADimensionA,638,mm,length,O/DIA A = 638mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp27
GADimensionA,705,mm,length,O/DIA A = 705mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp28
GADimensionA,606.5,mm,length,O/DIA A = 606.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp16
GADimensionA,654,mm,length,O/DIA A = 654mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp31
GADimensionA,647.5,mm,length,O/DIA A = 647.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp33
GADimensionA,682.5,mm,length,O/DIA A = 682.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp34
GADimensionA,698.5,mm,length,O/DIA A = 698.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp27
GADimensionA,755.5,mm,length,O/DIA A = 755.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp28
GADimensionA,717.5,mm,length,O/DIA A = 717.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp16
GADimensionA,775,mm,length,O/DIA A = 775mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp31
GADimensionA,768.5,mm,length,O/DIA A = 768.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp33
GADimensionA,790.5,mm,length,O/DIA A = 790.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp34
GADimensionA,838,mm,length,O/DIA A = 838mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp27
GADimensionA,901.5,mm,length,O/DIA A = 901.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp28
GADimensionA,660.5,mm,length,O/DIA A = 660.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp16
