CH/A6/TUBE/LENGTH,CH/A6/TUBE/DIA,CH/A6/TUBE/COMBI,Tube Dia,Tube,Float,Tube/Float,Float Density,Sizing Factor A,Sizing Factor B,first_m,first_c,middle_m,middle_c,last_m,last_c
2,B,H2,1/8,1/8-08,BG,1/8-08-BG,2.54,404,76.8,0.027090218,-0.105522702,0.03686423,-0.153036891,0.01544927,0.041407612
2,A,,1/16,1/16-12,CD,1/16-12-CD,2.28,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,B8,1/16,1/16-12,SA,1/16-12-SA,3.98,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,B9,1/16,1/16-12,SS,1/16-12-SS,8.02,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,B7,1/16,1/16-12,CA,1/16-12-CA,15,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,C0,1/16,1/16-12,TA,1/16-12-TA,16.6,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,B6,1/16,1/16-12,BG,1/16-12-BG,2.54,143,13.6,0,0,0.049502516,-0.18128176,0.058483618,-0.204493057
2,A,,1/16,1/16-16,CD,1/16-16-CD,2.28,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,C3,1/16,1/16-16,SA,1/16-16-SA,3.98,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,C4,1/16,1/16-16,SS,1/16-16-SS,8.02,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,C2,1/16,1/16-16,CA,1/16-16-CA,15,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,C5,1/16,1/16-16,TA,1/16-16-TA,16.6,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,C1,1/16,1/16-16,BG,1/16-16-BG,2.54,143,13.6,0,0,0.096059687,-0.370592548,0.068878017,-0.160548523
2,A,,1/16,1/16-20,CD,1/16-20-CD,2.28,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
2,A,C8,1/16,1/16-20,SA,1/16-20-SA,3.98,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
2,A,C9,1/16,1/16-20,SS,1/16-20-SS,8.02,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
2,A,C7,1/16,1/16-20,CA,1/16-20-CA,15,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
2,A,D0,1/16,1/16-20,TA,1/16-20-TA,16.6,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
2,A,C6,1/16,1/16-20,BG,1/16-20-BG,2.54,143,13.6,0,0,0.122354539,-0.447591736,0.085131609,-0.176136406
