ProductCode,SelectionGroup,PartNumber,ExclusionRule,Cost
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3 OR CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A7 OR CH/FPD/END/CONN/RAT=D5) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3 OR CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A8 OR CH/FPD/END/CONN/RAT=D6) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=S6) AND (CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=S6) AND (CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A3 OR CH/FPD/END/CONN/RAT=D2) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=F3 OR CH/FPD/NONELEM/MAT=F6) AND (CH/FPD/ELEM/MAT=K3 OR CH/FPD/ELEM/MAT=F6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1 OR CH/FPD/END/CONN/RAT=A7 OR CH/FPD/END/CONN/RAT=A8) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3) AND (CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=S1) AND (CH/FPD/TAPPING/SIZE=T3) AND (CH/FPD/TAPPING/RAT=S1),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3) AND (CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=S1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3) AND (CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T3) AND (CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3) AND (CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3) AND (CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A3 OR CH/FPD/END/CONN/RAT=D2) AND (CH/FPD/TAPPING/TYPE=S1) AND (CH/FPD/TAPPING/SIZE=T3) AND (CH/FPD/TAPPING/RAT=S1),759
