"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADimensionA","305","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp33","O/DIA A = 305mm"
"GADimensionA","321","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp34","O/DIA A = 321mm"
"GADimensionA","359","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp27","O/DIA A = 359mm"
"GADimensionA","353","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp28","O/DIA A = 353mm"
"GADimensionA","387.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp19","O/DIA A = 387.5mm"
"GADimensionA","340","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp16","O/DIA A = 340mm"
"GADimensionA","362","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp31","O/DIA A = 362mm"
"GADimensionA","359","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp33","O/DIA A = 359mm"
"GADimensionA","400","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp34","O/DIA A = 400mm"
"GADimensionA","435","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp27","O/DIA A = 435mm"
"GADimensionA","435","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp28","O/DIA A = 435mm"
"GADimensionA","476","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp19","O/DIA A = 476mm"
"GADimensionA","410","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp16","O/DIA A = 410mm"
"GADimensionA","422.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp31","O/DIA A = 422.5mm"
