"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD150","CH/FPD/END/CONN/RAT","D7",15,True,False,999999,"CH/FPD/END/CONN/TYPE=J1 OR CH/FPD/END/CONN/TYPE=J3","PN 160","PN 160",,False
"FPD150","CH/FPD/END/CONN/RAT","Z9",16,True,False,999999,"","Others","Others","Customer",False
"FPD150","CH/FPD/GASKET","GP3",1,True,False,0,"CH/FPD/PRODUCT/DES=P1 OR CH/FPD/PRODUCT/DES=P3","Soft Iron","Soft Iron",,False
"FPD150","CH/FPD/GASKET","GS6",2,True,False,0,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S6)))","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS4",3,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S4)))","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS2",4,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S2)))","321 Stainless Steel","321 Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS8",5,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S8)))","317/317L Stainless Steel","317/317L Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS5",6,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S5)))","347 Stainless Steel","347 Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GH6",7,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=H6)))","316H Stainless Steel","316H Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GH4",8,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=H4)))","304H Stainless Steel","304H Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS1",9,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S1)))","321H Stainless Steel","321H Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS7",10,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S7)))","347H Stainless Steel","347H Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GS9",11,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=S9)))","904L Stainless Steel","904L Stainless Steel",,False
"FPD150","CH/FPD/GASKET","GM1",12,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=M1)))","6Mo SS (UNS S31254)","6Mo SS (UNS S31254)",,False
"FPD150","CH/FPD/GASKET","GD1",13,True,False,0,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=D1)))","22Cr Duplex (UNS S31803)","22Cr Duplex (UNS S31803)",,False
"FPD150","CH/FPD/GASKET","GD2",14,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=D2)))","25Cr Super Duplex (UNS S32750)","25Cr Super Duplex (UNS S32750)",,False
"FPD150","CH/FPD/GASKET","GD3",15,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=D3)))","25Cr Super Duplex (UNS S32760)","25Cr Super Duplex (UNS S32760)",,False
