"Table","Display name","Field","Display name","Data type"
"Documents","Documents","Secured","Secured","System.Boolean"
"Documents","Documents","DocImage","DocImage","System.Byte[]"
"Documents","Documents","DateCreated","DateCreated","System.DateTime"
"Documents","Documents","DateModified","DateModified","System.DateTime"
"FileProperties","File Properties","CreatedBy","CreatedBy","System.String"
"FileProperties","File Properties","CreatedOn","CreatedOn","System.DateTime"
"FileProperties","File Properties","LastSavedBy","LastSavedBy","System.String"
"FileProperties","File Properties","LastSavedOn","LastSavedOn","System.DateTime"
"FileProperties","File Properties","ApplicationVersion","ApplicationVersion","System.String"
"FileProperties","File Properties","AppConfigVersion","AppConfigVersion","System.Double"
"FileProperties","File Properties","ProductItemsLastUpdated","ProductItemsLastUpdated","System.DateTime"
"FileProperties","File Properties","CustomerDataLastUpdated","CustomerDataLastUpdated","System.DateTime"
"FileProperties","File Properties","DocumentsLastUpdated","DocumentsLastUpdated","System.DateTime"
"FileProperties","File Properties","ItemsGridLayout","ItemsGridLayout","System.String"
"FileProperties","File Properties","ItemsGridCheckedRowsList","ItemsGridCheckedRowsList","System.String"
"FileHistory","File History","Date","Date","System.DateTime"
"FileHistory","File History","User","User","System.String"
"FileHistory","File History","Notes","Notes","System.String"
"NumberFormats","Number Formats","NumberRoundingType","NumberRoundingType","System.String"
"NumberFormats","Number Formats","Precision","Precision","System.Int32"
"Overrides","Overrides","Name","Name","System.String"
"Overrides","Overrides","ProductItem","ProductItem","System.Guid"
"Overrides","Overrides","Value","Value","System.Object"
