ProductCode,SelectionGroup,GrpOrder,InProductCode,MustSelect,SingleSelection,SpecialGroup,MustSelectRule,Name,Description
FPD350_L6,CH/FPD/SURFACE/TREAT,18,TRUE,FALSE,TRUE,0,,Surface Treatment,Surface Treatment
FPD350_L6,CH/FPD/CERTIFICATION,19,TRUE,FALSE,FALSE,0,,Certification,Certification
FPD350_L6,CH/FPD/TESTING,20,TRUE,FALSE,FALSE,0,,Testing,Testing
FPD350_L6,CH/FPD/DOC/LANG,21,TRUE,FALSE,TRUE,0,,Documentation Language (default = English),Documentation Language (default = English)
FPD350_L6,CH/FPD/ADD/REQ,22,TRUE,FALSE,TRUE,0,,Added Requirements,Added Requirements
FPD350_L7,CH/FPD/PRODUCT/DES,1,TRUE,TRUE,TRUE,6,,Product Design,Product Design
FPD350_L7,CH/FPD/END/SUPT,2,TRUE,TRUE,TRUE,7,,End Support,End Support
FPD350_L7,CH/FPD/LINE/SIZE,3,TRUE,TRUE,TRUE,4,,Line Nominal Bore,Line Nominal Bore
FPD350_L7,CH/FPD/ELEM/MAT,4,TRUE,TRUE,TRUE,3,,Probe Material,Probe Material
FPD350_L7,CH/FPD/NONELEM/MAT,5,TRUE,TRUE,TRUE,2,,Pipe Fitting Material,Pipe Fitting Material
FPD350_L7,CH/FPD/MOUNTING,6,TRUE,TRUE,TRUE,31,,Mounting Type,Mounting Type
FPD350_L7,CH/FPD/END/CONN/TYPE,7,TRUE,TRUE,TRUE,0,,Process Connection Type,Process Connection Type
FPD350_L7,CH/FPD/END/CONN/RAT,8,TRUE,TRUE,TRUE,10,,Process Connection Rating,Process Connection Rating
FPD350_L7,CH/FPD/TAPPING/TYPE,9,TRUE,TRUE,TRUE,0,,Tapping Type,Tapping Type
FPD350_L7,CH/FPD/TAPPING/SIZE,10,TRUE,TRUE,TRUE,0,,Tapping Size,Tapping Size
FPD350_L7,CH/FPD/VALVE/MAT,11,TRUE,TRUE,TRUE,0,,Tapping/Valve Material,Tapping/Valve Material
FPD350_L7,CH/FPD/PIPE/ORIENT,12,TRUE,TRUE,TRUE,30,,Pipe Orientation and shape,Pipe Orientation and shape
FPD350_L7,CH/FPD/ISO/VALVE,13,TRUE,TRUE,TRUE,0,,Process Isolation Valve,Process Isolation Valve
FPD350_L7,CH/FPD/TORBAR/DES,14,TRUE,FALSE,FALSE,0,,Design options,Design options
FPD350_L7,CH/FPD/PACK/GLND/MAT,15,TRUE,FALSE,TRUE,0,,Packing Gland Material,Packing Gland Material
FPD350_L7,CH/FPD/TAPPING/SETS,16,TRUE,FALSE,TRUE,0,,Number of Tapping Sets,Number of Tapping Sets
FPD350_L7,CH/FPD/TEMP,17,TRUE,FALSE,TRUE,0,,Temperature Element,Temperature Element
FPD350_L7,CH/FPD/FITT/ACC,18,TRUE,FALSE,TRUE,0,,Fitting Accessories,Fitting Accessories
FPD350_L7,CH/FPD/SURFACE/TREAT,19,TRUE,FALSE,TRUE,0,,Surface Treatment,Surface Treatment
FPD350_L7,CH/FPD/CERTIFICATION,20,TRUE,FALSE,FALSE,0,,Certification,Certification
FPD350_L7,CH/FPD/TESTING,21,TRUE,FALSE,FALSE,0,,Testing,Testing
FPD350_L7,CH/FPD/DOC/LANG,22,TRUE,FALSE,TRUE,0,,Documentation Language (default = English),Documentation Language (default = English)
FPD350_L7,CH/FPD/ADD/REQ,23,TRUE,FALSE,TRUE,0,,Added Requirements,Added Requirements
