CharacteristicCode_Logic,Active,Description,IsoValveMass_kg,IsoValveLength_mm
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb RTJ",,305
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb RTJ",,305
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb RF",12,178
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb RF",15,216
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb RF",18,292
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb RF",,368
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb RF",,368
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb FF",12,178
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb FF",15,216
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb FF",18,292
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb FF",,368
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb FF",,368
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb RTJ",,178
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb RTJ",,216
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb RTJ",,292
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb RTJ",,368
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb RTJ",,368
