"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD190","CH/FPD/LINE/SIZE","850",26,True,False,999999,"CH/FPD/CUST/STD=S1","DN 850 (34 in.)","DN 850 (34 in.)","34""",False
"FPD190","CH/FPD/LINE/SIZE","900",27,True,False,999999,"CH/FPD/CUST/STD=S1","DN 900 (36 in.)","DN 900 (36 in.)","36""",False
"FPD190","CH/FPD/LINE/SIZE","950",28,True,False,999999,"CH/FPD/CUST/STD=S1","DN 950 (38 in.)","DN 950 (38 in.)","38""",False
"FPD190","CH/FPD/LINE/SIZE","001",29,True,False,999999,"CH/FPD/CUST/STD=S1","DN 1000 (40 in.)","DN 1000 (40 in.)","40""",False
"FPD190","CH/FPD/LINE/SIZE","051",30,True,False,999999,"CH/FPD/CUST/STD=S1","DN 1050 (42 in.)","DN 1050 (42 in.)","42""",False
"FPD190","CH/FPD/LINE/SIZE","999",31,True,False,999999,"","Others","Others","Customer",False
"FPD190","CH/FPD/PIPE/SCH","S1",1,True,False,0,"","Schedule 5S","Schedule 5S","5S",False
"FPD190","CH/FPD/PIPE/SCH","S2",2,True,False,0,"","Schedule 5","Schedule 5","5",False
"FPD190","CH/FPD/PIPE/SCH","S3",3,True,False,0,"","Schedule 10S","Schedule 10S","10S",False
"FPD190","CH/FPD/PIPE/SCH","S4",4,True,False,0,"","Schedule 10","Schedule 10","10",False
"FPD190","CH/FPD/PIPE/SCH","S5",5,True,False,0,"","Schedule 20","Schedule 20","20",False
"FPD190","CH/FPD/PIPE/SCH","S6",6,True,False,0,"","Schedule 30","Schedule 30","30",False
"FPD190","CH/FPD/PIPE/SCH","S7",7,True,False,0,"","Schedule 40S","Schedule 40S","40S",False
"FPD190","CH/FPD/PIPE/SCH","S8",8,True,False,0,"","Schedule 40","Schedule 40","40",False
"FPD190","CH/FPD/PIPE/SCH","S9",9,True,False,0,"","Schedule STD","Schedule STD","STD",False
"FPD190","CH/FPD/PIPE/SCH","T1",10,True,False,0,"","Schedule 60","Schedule 60","60",False
"FPD190","CH/FPD/PIPE/SCH","T2",11,True,False,0,"","Schedule 80S","Schedule 80S","80S",False
"FPD190","CH/FPD/PIPE/SCH","T3",12,True,False,0,"","Schedule 80","Schedule 80","80",False
"FPD190","CH/FPD/PIPE/SCH","T4",13,True,False,0,"","Schedule XS","Schedule XS","XS",False
"FPD190","CH/FPD/PIPE/SCH","T5",14,True,False,0,"","Schedule 100","Schedule 100","100",False
"FPD190","CH/FPD/PIPE/SCH","T6",15,True,False,0,"","Schedule 120","Schedule 120","120",False
"FPD190","CH/FPD/PIPE/SCH","T7",16,True,False,0,"","Schedule 140","Schedule 140","140",False
"FPD190","CH/FPD/PIPE/SCH","T8",17,True,False,0,"","Schedule 160","Schedule 160","160",False
"FPD190","CH/FPD/PIPE/SCH","T9",18,True,False,0,"","Schedule XXS","Schedule XXS","XXS",False
"FPD190","CH/FPD/PIPE/SCH","Z9",19,True,False,0,"","Others","Others","Customer",False
"FPD190","CH/FPD/NONELEM/MAT","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD190","CH/FPD/NONELEM/MAT","S4",2,True,False,0,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD190","CH/FPD/NONELEM/MAT","C3",3,True,False,0,"","Carbon Steel (A105N/A106 GrB)","Carbon Steel (A105N/A106 GrB)",,False
"FPD190","CH/FPD/NONELEM/MAT","C4",4,True,False,0,"","Low Temp Carbon Steel (A350 LF2 C1/A333 Gr 6)","Low Temp Carbon Steel (A350 LF2 C1/A333 Gr 6)",,False
"FPD190","CH/FPD/NONELEM/MAT","S3",5,True,False,0,"","310 Stainless Steel","310 Stainless Steel",,False
"FPD190","CH/FPD/NONELEM/MAT","S2",6,True,False,0,"","321 Stainless Steel","321 Stainless Steel",,False
"FPD190","CH/FPD/NONELEM/MAT","S8",7,True,False,0,"","317/317L Stainless Steel","317/317L Stainless Steel",,False
"FPD190","CH/FPD/NONELEM/MAT","D1",8,True,False,0,"","22% Cr Duplex (UNS S31803)","22% Cr Duplex (UNS S31803)",,False
"FPD190","CH/FPD/NONELEM/MAT","D2",9,True,False,0,"","25% Cr Super Duplex (UNS S32750/S32760)","25% Cr Super Duplex (UNS S32750/S32760)",,False
"FPD190","CH/FPD/NONELEM/MAT","M1",10,True,False,0,"","6% Mo SS (UNS S31254)","6% Mo SS (UNS S31254)",,False
"FPD190","CH/FPD/NONELEM/MAT","M4",11,True,False,0,"","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"FPD190","CH/FPD/NONELEM/MAT","N2",12,True,False,0,"","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"FPD190","CH/FPD/NONELEM/MAT","U4",13,True,False,0,"","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
"FPD190","CH/FPD/NONELEM/MAT","U5",14,True,False,0,"","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"FPD190","CH/FPD/NONELEM/MAT","U7",15,True,False,0,"","Alloy C276 (UNS N10276)","Alloy C276 (UNS N10276)",,False
"FPD190","CH/FPD/NONELEM/MAT","F3",16,True,False,0,"","5Cr-½Mo Low Alloy F5 (UNS K41545)","5Cr-½Mo Low Alloy F5 (UNS K41545)",,False
"FPD190","CH/FPD/NONELEM/MAT","F4",17,True,False,0,"","1¼Cr-½Mo Low Alloy F11 (UNS K11597)","1¼Cr-½Mo Low Alloy F11 (UNS K11597)",,False
"FPD190","CH/FPD/NONELEM/MAT","F5",18,True,False,0,"","2¼Cr-1Mo Low Alloy F22 (UNS K21590)","2¼Cr-1Mo Low Alloy F22 (UNS K21590)",,False
"FPD190","CH/FPD/NONELEM/MAT","Z9",21,True,False,0,"","Others","Others","Customer",False
"FPD190","CH/FPD/ELEM/MAT","S6",1,True,False,0,"","316/316L Stainless Steel","316/316L Stainless Steel",,False
"FPD190","CH/FPD/ELEM/MAT","S4",2,True,False,999999,"","304/304L Stainless Steel","304/304L Stainless Steel",,False
"FPD190","CH/FPD/ELEM/MAT","S3",3,True,False,999999,"","310 Stainless Steel","310 Stainless Steel",,False
"FPD190","CH/FPD/ELEM/MAT","S2",4,True,False,999999,"","321 Stainless Steel","321 Stainless Steel",,False
"FPD190","CH/FPD/ELEM/MAT","S8",5,True,False,999999,"","317/317L Stainless Steel","317/317L Stainless Steel",,False
"FPD190","CH/FPD/ELEM/MAT","D1",6,True,False,0,"","22% Cr Duplex (UNS S31803)","22% Cr Duplex (UNS S31803)",,False
"FPD190","CH/FPD/ELEM/MAT","D2",7,True,False,999999,"","25% Cr Super Duplex (UNS S32750)","25% Cr Super Duplex (UNS S32750)",,False
"FPD190","CH/FPD/ELEM/MAT","D3",8,True,False,999999,"","25% Cr Super Duplex (UNS S32760)","25% Cr Super Duplex (UNS S32760)",,False
"FPD190","CH/FPD/ELEM/MAT","M1",9,True,False,999999,"","6% Mo SS (UNS S31254)","6% Mo SS (UNS S31254)",,False
"FPD190","CH/FPD/ELEM/MAT","M4",10,True,False,0,"","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"FPD190","CH/FPD/ELEM/MAT","N2",11,True,False,999999,"","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"FPD190","CH/FPD/ELEM/MAT","U4",12,True,False,999999,"","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
