"Pressure_PaA","Temperature_K","Density_kgm3","IsentropicIndex","Viscosity_cP","ZFactor","EnglishUS","French","German","Spanish","Russian"
1650000,476.05,8.3256,1.2938,0.01581,0.902045,"","","","",""
1660000,476.35,8.3745,1.2937,0.01582,0.901653,"","","","",""
1670000,476.65,8.4235,1.2937,0.01583,0.901263,"","","","",""
1680000,476.95,8.4724,1.2936,0.01584,0.900873,"","","","",""
1690000,477.25,8.5214,1.2935,0.01585,0.900484,"","","","",""
1700000,477.45,8.5703,1.2935,0.01586,0.900096,"","","","",""
1710000,477.75,8.6193,1.2934,0.01587,0.899706,"","","","",""
1720000,478.05,8.6683,1.2933,0.01588,0.899322,"","","","",""
1730000,478.35,8.7172,1.2933,0.01589,0.898936,"","","","",""
1740000,478.65,8.7662,1.2932,0.0159,0.898551,"","","","",""
1750000,478.95,8.8152,1.2931,0.01591,0.898167,"","","","",""
1760000,479.15,8.8642,1.2931,0.01592,0.897784,"","","","",""
1770000,479.45,8.9131,1.293,0.01593,0.897401,"","","","",""
1780000,479.75,8.9621,1.2929,0.01594,0.897019,"","","","",""
1790000,480.05,9.0111,1.2929,0.01595,0.896637,"","","","",""
1800000,480.35,9.0601,1.2928,0.01596,0.896257,"","","","",""
1810000,480.55,9.1091,1.2927,0.01597,0.895877,"","","","",""
1820000,480.85,9.1581,1.2927,0.01598,0.895497,"","","","",""
1830000,481.15,9.2072,1.2926,0.01599,0.895119,"","","","",""
1840000,481.35,9.2562,1.2925,0.016,0.894741,"","","","",""
1850000,481.65,9.3052,1.2925,0.01601,0.894364,"","","","",""
1860000,481.95,9.3542,1.2924,0.01602,0.893988,"","","","",""
1870000,482.15,9.4033,1.2923,0.01603,0.893612,"","","","",""
1880000,482.45,9.4523,1.2923,0.01604,0.893237,"","","","",""
1890000,482.75,9.5014,1.2922,0.01605,0.892862,"","","","",""
1900000,482.95,9.5504,1.2922,0.01605,0.892489,"","","","",""
1910000,483.25,9.5995,1.2921,0.01606,0.892115,"","","","",""
1920000,483.55,9.6486,1.292,0.01607,0.891743,"","","","",""
1930000,483.75,9.6976,1.292,0.01608,0.891371,"","","","",""
1940000,484.05,9.7467,1.2919,0.01609,0.891,"","","","",""
1950000,484.25,9.7958,1.2918,0.0161,0.89063,"","","","",""
1960000,484.55,9.8449,1.2918,0.01611,0.89026,"","","","",""
1970000,484.85,9.894,1.2917,0.01612,0.889891,"","","","",""
1980000,485.05,9.9431,1.2917,0.01613,0.889522,"","","","",""
1990000,485.35,9.9922,1.2916,0.01614,0.889154,"","","","",""
2000000,485.55,10.0413,1.2916,0.01614,0.888787,"","","","",""
2010000,485.85,10.0905,1.2915,0.01615,0.88842,"","","","",""
2020000,486.05,10.1396,1.2914,0.01616,0.888054,"","","","",""
2030000,486.35,10.1887,1.2914,0.01617,0.887689,"","","","",""
2040000,486.55,10.2379,1.2913,0.01618,0.887324,"","","","",""
2050000,486.85,10.287,1.2913,0.01619,0.886959,"","","","",""
2060000,487.05,10.3362,1.2912,0.0162,0.886596,"","","","",""
2070000,487.35,10.3854,1.2912,0.01621,0.886233,"","","","",""
2080000,487.55,10.4346,1.2911,0.01621,0.88587,"","","","",""
2090000,487.85,10.4837,1.2911,0.01622,0.885508,"","","","",""
2100000,488.05,10.5329,1.291,0.01623,0.885147,"","","","",""
2110000,488.25,10.5821,1.2909,0.01624,0.884786,"","","","",""
2120000,488.55,10.6314,1.2909,0.01625,0.884426,"","","","",""
2130000,488.75,10.6806,1.2908,0.01626,0.884066,"","","","",""
2140000,489.05,10.7298,1.2908,0.01626,0.883707,"","","","",""
2150000,489.25,10.779,1.2907,0.01627,0.883349,"","","","",""
2160000,489.45,10.8283,1.2907,0.01628,0.882991,"","","","",""
2170000,489.75,10.8775,1.2906,0.01629,0.882633,"","","","",""
2180000,489.95,10.9268,1.2906,0.0163,0.882276,"","","","",""
2190000,490.25,10.9761,1.2905,0.01631,0.88192,"","","","",""
2200000,490.45,11.0253,1.2905,0.01631,0.881564,"","","","",""
2210000,490.65,11.0746,1.2904,0.01632,0.881209,"","","","",""
2220000,490.95,11.1239,1.2904,0.01633,0.880854,"","","","",""
2230000,491.15,11.1732,1.2903,0.01634,0.8805,"","","","",""
2240000,491.35,11.2225,1.2903,0.01635,0.880146,"","","","",""
2250000,491.65,11.2719,1.2902,0.01636,0.879793,"","","","",""
2260000,491.85,11.3212,1.2902,0.01636,0.879441,"","","","",""
2270000,492.05,11.3705,1.2901,0.01637,0.879089,"","","","",""
2280000,492.25,11.4199,1.2901,0.01638,0.878737,"","","","",""
2290000,492.55,11.4692,1.29,0.01639,0.878386,"","","","",""
2300000,492.75,11.5186,1.29,0.0164,0.878035,"","","","",""
2310000,492.95,11.568,1.2899,0.0164,0.877685,"","","","",""
2320000,493.15,11.6174,1.2899,0.01641,0.877336,"","","","",""
2330000,493.45,11.6668,1.2898,0.01642,0.876987,"","","","",""
2340000,493.65,11.7162,1.2898,0.01643,0.876638,"","","","",""
2350000,493.85,11.7656,1.2898,0.01644,0.87629,"","","","",""
2360000,494.05,11.815,1.2897,0.01644,0.875943,"","","","",""
2370000,494.35,11.8644,1.2897,0.01645,0.875596,"","","","",""
2380000,494.55,11.9139,1.2896,0.01646,0.875249,"","","","",""
2390000,494.75,11.9633,1.2896,0.01647,0.874903,"","","","",""
2400000,494.95,12.0128,1.2895,0.01647,0.874557,"","","","",""
2410000,495.15,12.0623,1.2895,0.01648,0.874212,"","","","",""
2420000,495.45,12.1118,1.2894,0.01649,0.873867,"","","","",""
2430000,495.65,12.1613,1.2894,0.0165,0.873523,"","","","",""
2440000,495.85,12.2108,1.2894,0.0165,0.873179,"","","","",""
2450000,496.05,12.2603,1.2893,0.01651,0.872836,"","","","",""
2460000,496.25,12.3098,1.2893,0.01652,0.872493,"","","","",""
2470000,496.45,12.3593,1.2892,0.01653,0.872151,"","","","",""
2480000,496.75,12.4089,1.2892,0.01654,0.871809,"","","","",""
2490000,496.95,12.4584,1.2892,0.01654,0.871467,"","","","",""
2500000,497.15,12.508,1.2891,0.01655,0.871126,"","","","",""
2510000,497.35,12.5576,1.2891,0.01656,0.870786,"","","","",""
2520000,497.55,12.6075,1.289,0.01657,0.870446,"","","","",""
2530000,497.75,12.6568,1.289,0.01657,0.870106,"","","","",""
2540000,497.95,12.7064,1.289,0.01658,0.869767,"","","","",""
2550000,498.15,12.756,1.2889,0.01659,0.869428,"","","","",""
2560000,498.45,12.8056,1.2889,0.01659,0.86909,"","","","",""
2570000,498.65,12.8553,1.2888,0.0166,0.868752,"","","","",""
2580000,498.85,12.9049,1.2888,0.01661,0.868414,"","","","",""
2590000,499.05,12.9546,1.2888,0.01662,0.868077,"","","","",""
2600000,499.25,13.0043,1.2887,0.01662,0.86774,"","","","",""
2610000,499.45,13.054,1.2887,0.01663,0.867404,"","","","",""
2620000,499.65,13.1037,1.2886,0.01664,0.867068,"","","","",""
2630000,499.85,13.1534,1.2886,0.01665,0.866733,"","","","",""
2640000,500.05,13.2031,1.2886,0.01665,0.866398,"","","","",""
2650000,500.25,13.2528,1.2885,0.01666,0.866063,"","","","",""
2660000,500.45,13.3026,1.2885,0.01667,0.865729,"","","","",""
2670000,500.65,13.3523,1.2885,0.01668,0.865395,"","","","",""
2680000,500.85,13.4021,1.2884,0.01668,0.865062,"","","","",""
2690000,501.05,13.4519,1.2884,0.01669,0.864729,"","","","",""
